start	end	text
0	4680	out that have bankrupted the economy consistently again and again and again. In fact, there's
4680	10960	a pattern. Whenever we spend more than 3% of the overall GDP of the economy on an infrastructure
10960	17200	build out, it bankrupts the economy briefly for 10 years. So this happened when we did
17200	22680	railway tracks. In fact, it happened twice in the UK and twice in the USA. Then we bankrupt
22680	27400	ourselves putting the electrification grid in place. We bankrupted ourselves putting highways
27400	32840	in place. Now, there's something that makes this worse than ever before. And that is that
32840	37840	when we built train tracks, they lasted for 100 years. When we built roads, they lasted
37840	44320	50 plus years. The telecommunications, fiber optics, 30 years. All of these investments
44320	50560	were multi-decade investments that we could get benefit from and leverage for decades.
50560	55080	Data centers last three to four years before they need to be replaced. So we are building
55120	61280	something that has a three to four year lifecycle that costs hundreds of billions and it has
61280	65200	to be replaced every few years. And there is no financial model attached to this that
65200	71680	justifies it at all. So one thing that I'm predicting is that in 2029, 100 years after
71680	76600	the Great Depression, we will see a massive financial meltdown based off the back of these
76600	81880	data centers that have been developed at the moment. The technology itself is remarkable,
81880	85320	but the financial model just makes no sense whatsoever at the moment.
