start	end	text
0	1820	Let me just say,
1820	4560	Theo is awake, man.
4560	6240	I don't think we're just sending money to a place.
6240	8480	I do believe that our country's owned by Israel.
8480	10280	What I say, James Lee is a conspiracist
10280	12920	who brands himself as a champion of the independent thought
12920	15040	his commentary distorts the nature of anti-Semitism
15040	17600	and vilifies Jewish communities.
17600	18760	Damn, James.
18760	21960	Well, I challenge them to find an example
21960	24240	of me vilifying a Jewish community, you know?
24240	25160	Yeah, well, it says right here,
25160	27520	they aren't even hiding it anymore, Israel owns America.
27520	29160	Well, I mean, that's, they do.
29160	30880	Yeah, you're like, we can't pay our nurses.
30880	32520	We can't, you know, I'm saying we don't have,
32520	34040	like we have issues in our public schools,
34040	36520	more people are choosing to homeschool than ever,
36520	39800	which is just another burden on the family, really, right?
40720	45720	You know, our food supply has been deemed toxic, toxic, right?
45800	47560	That's something that we're battling right now.
47560	51400	70% of young men can't serve in the military
51400	55080	because of the physical shape that they're in, right?
55920	57880	So you start to wonder,
58800	62040	why do we have this extra money to just send to a place, right?
62040	64600	So that, that I think is a very fair question.
64600	65760	And I've been thinking about a lot,
65760	69160	and I do think, I don't think we're just sending money
69160	71040	to a place, I do believe that our country's owned
71040	75800	by Israel and that, so you just give the money to the boss.
75800	78280	So it's not us getting, they're just getting the money
78280	81800	that's, that's, that's, that's theirs, yeah.
81800	82880	That's what I started to relax.
82880	84680	I'm like, yeah, because if you do this for so long
84680	85880	and it doesn't make any, you know what I'm saying?
85880	87240	Like, there's no answer.
87240	88640	It's like, oh, well, that's just,
88640	91080	that's the boss coming and just getting his money.
