start	end	text
0	2160	about 10 years before, under the guise of elevator renovations.
2160	3920	For all three of the buildings.
3920	6240	The shafts gave us access to all the columns and concrete supports.
6240	7600	We used this sprayable explosive.
7600	8480	When I first saw it, I was like,
8480	11120	This is a real James Bond shit.
11120	13200	The hardest part of the job was wearing a respirator the whole time.
13200	14640	We could barely see and couldn't take them off.
14640	16240	Because of all these bastards.
17040	19120	Whatever we sprayed it on turned to dust in the day of the event.
19120	21440	There was so much molten material left that one firefighter said it was like,
21440	23520	Looking at a river of lava.
23520	26720	It was in the spring of 2000 that we installed the first of the two hummingbeacons in some pyro.
26720	27680	Ran out a whole floor.
27680	29200	They didn't even question where the money came from.
29200	31760	We just said we'd make you a little art project.
31760	33120	The other beacon was a little harder to plan.
33120	34880	But we had a friend at Marcia McClellan who told us that
34880	36720	Peony was spun on the floor below and it could go.
36720	37920	And we almost did it without a trace.
37920	40000	But the new guy decided to take a group photo on the last day.
40000	43840	We forgot to cover up the labels on a box of dead mirrors.
43840	44960	The planes were actually the easy part.
44960	46160	They were fully remote controlled just.
46160	49040	We couldn't trust those errors to fly a Cessna.
49040	51360	Let alone a full-size airplane.
51360	52480	Everyone made money that day.
52480	54160	And no one questioned why owners didn't show up to work.
54160	56080	Or why everyone didn't get the exclusive pager warning.
56080	57840	The most suspicion anyone caused was Zim.
57920	60080	Waiting till a couple of weeks before the big day to move out.
60080	60880	We even told the owner.
60880	62960	They're gonna know that you knew.
62960	64160	We all thought they'd catch on to Larry.
64160	66080	He waited till a month before to put the place in his name.
66080	68960	And created the first of its kind insurance policy for the maximum payout.
68960	69920	Lucky guy.
69920	71920	I asked him what his alibi was and he said his wife scheduled it.
71920	74560	An annual German collegeist appointment.
75520	77040	The Masagas didn't give a fluff that day.
77040	79200	Even if they got caught, they knew they would just get sent home.
79200	81360	The events of the day were even painted on the sides of their vans.
81360	83920	And some got spotted by a grandma while dancing on top of the parking lot.
83920	86240	When they were supposed to be filming.
86320	89440	Then they got caught again on the George Washington Bridge before they could set one of their vans off.
89440	91920	We had to make a cop actually change his story when he went on the radio and said he found
91920	93200	some explosives in the van.
93200	95440	They get arrested and screened at the Palestinians in the real enemy.
95440	97520	They get caught with plane tickets to different parts of the world.
97520	98080	One of the five dudes.
98080	102720	And 4700 in cash stuffed up his ass.
102720	105600	They gave our team a sweet bonus incentive in the form of a couple truckloads of gold.
105600	106960	Felt like we were in a die-hard movie.
106960	109200	Now we're, we get notified that they have the blow thing early.
109200	113440	So we are forced to abandon the trucks on a service time longer five.
113440	116000	Then we moved on to seven to wipe some financial records towards the place.
116000	119360	We find the deputy director of the emergency services department wandering around the command center.
119360	120560	He says his name was Barry.
120560	121040	I tell him.
121040	123200	You kind of get out of here, man.
123200	124080	I asked if he's alone.
124080	125200	He said it's just him and a friend left.
125200	126880	The building's janitor, Jose Gonzalez.
126880	127680	Ask where Jose is.
127680	128800	He says he's downstairs.
128800	131840	I say we're exactly downstairs.
131840	133200	He says Jose's on the first floor.
133200	134240	So I start to leave him out.
134240	135520	As we make it down the stairs it felt like.
135520	138640	47 cruise missiles hit the lobby.
138640	140880	We took another staircase and Barry unfortunately sees too much.
140880	141840	Tells the news about it.
141840	143840	So we had to make him change his story on the scene in a few months later.
143840	146560	I'm shot him in the neck with a heart attack pellet.
146560	147760	Finally I get back to the main scene.
147760	149200	I find a rookie cop who looks lost.
149200	150480	I hand him the passport and say.
150480	152640	I found the sun in the rubble over there.
