start	end	text
0	3000	All the windows were blown out.
3000	6000	The lobby looked like the plane hit the lobby.
6000	8000	I think a problem went off the lobby first,
8000	10000	then a plane hit the building.
10000	13000	Then another plane hit the other building.
13000	16000	But when I was coming through the doors,
16000	18000	on the other side of the trade center,
18000	21000	something either that blew the lobby up
21000	24000	or something because it blew the glass out of the doors
24000	25000	and knocked the sword down,
25000	29000	and I got a smoke and everything on there.
30000	33000	I just feel a little shook up because I got blasted.
33000	36000	That's several accounts that the lobby blew up
36000	38000	before the first plane,
38000	41000	and that the subway was filled with smoke.
41000	43000	How is this never mentioned?
43000	45000	And what about the FDNY?
45000	47000	According to the firefighters who were in the towers,
47000	50000	there were bombs going off all over these buildings.
50000	53000	I demand to know, as should everyone,
53000	55000	especially the media,
55000	58000	why important testimony made that day
58000	62000	from over 150 police firefighters
62000	66000	and first responders regarding explosions
66000	69000	wasn't included in the commission report,
69000	71000	nor investigated further.
71000	73000	What happened?
73000	75000	It was an explosion.
75000	76000	It was in the lobby,
76000	78000	and it was the third explosion,
78000	80000	the whole lobby collapsed on us.
80000	81000	What was it like?
81000	82000	What was it like?
82000	83000	It was horrible.
83000	84000	It was like hell.
84000	87000	The whole building just collapsed on us inside the lobby.
87000	88000	Is that a secondary explosion?
88000	89000	Yes, it was.
89000	90000	That was the final problem.
90000	92000	Yeah, definitely a secondary explosion,
92000	94000	because there was inside waiting to go upstairs,
94000	95000	and on the way upstairs,
95000	96000	the whole fucking plane blew.
96000	98000	I mean, just collapsed from everybody inside the lobby.
98000	100000	So we took the first tower coming down,
100000	101000	second door.
101000	102000	I don't know about the first one,
102000	103000	but I know the second one was telling me.
103000	105000	Then there was a third one, too, after that one.
105000	106000	There was explosions.
106000	108000	I mean, there was a couple explosions.
108000	110000	Yeah, while we were in the building,
110000	112000	we were one of the first stairwells.
112000	114000	A real couple of times we dove into the stairway,
114000	115000	and we do another plane was coming.
115000	116000	We made it outside.
116000	117000	We made it about a block.
117000	119000	We made it at least two blocks,
119000	121000	and we started not.
121000	123000	All my bullets that are popping out.
123000	125000	It was like it was just a hit for the head's detonate.
125000	126000	Yeah, detonate it.
126000	127000	Yeah.
127000	128000	Yeah.
128000	129000	Yeah.
129000	131000	And you heard the boo-boo-boo-boo-boo-boo.
131000	133000	New York's bravest.
133000	134000	Never had a change.
134000	137000	It really never even got close to the building.
137000	139000	The explosion blew, and it knocked everybody over.
139000	142000	Five minutes in the elevators exploded us.
142000	143000	Yeah.
143000	144000	We said something's wrong.
144000	145000	Yeah.
145000	147000	We made the plane hit up on the 88th floor.
147000	149000	I mean, five minutes over.
149000	152000	Now the elevators exploded on the first level of water.
152000	154000	There was a secondary explosion,
154000	156000	probably a device you'd have planted before,
156000	159000	or on a aircraft that would not explode until now or later.
