start	end	text
0	3400	As you first start fooling around on the internet back in the day, particularly on social media
3400	7320	and online shopping platforms, there have been private data companies building an individual
7320	11880	profile on you to sell to advertisers and corporations like Oracle who build regional
11880	15040	and market specific algorithms based on consumer data.
15040	16040	And guess what?
16040	17040	You're the consumer pal.
17040	19240	For a long time, this could have been seen as all fun and games.
19240	23640	You buy a poolside basketball hoop on Amazon one day and then get served a whole gang of
23640	25760	LeBron James highlights the next.
25760	26760	It was chill.
26760	28880	But now it's getting freaking scary.
28880	34680	Three days ago, on March 18th, 2026, FBI Director Cash Patel sat before the Senate Intelligence
34680	39600	Committee and confirmed, under oath, that the FBI is actively purchasing Americans'
39600	44080	data in bulk from these same private data companies who'd worked in the ad space before
44080	46560	to create domestic profiles on American shoppers.
46560	51760	And what these data brokers have is a full dossier built from your entire digital footprint
51760	55680	from your first MySpace profile in fourth grade to whatever the frick you're doing
55680	57000	online right now.
57000	60400	MySpace, to me and many other people, is seen as a bit concerning.
60400	62720	You know, why does the FBI want all of our data?
62720	66880	Are they developing some kind of dissident database to map and classify people who speak
66880	68440	out against the federal government?
68440	72960	Or maybe uncomfortable with the Epstein class forcing Americans to fight a war on behalf
72960	76760	of a country that's bought and blackmailed its way into our political and media establishment
76760	80520	with the sole purpose of manufacturing consent to expand their colonial project?
80520	81520	I don't know.
81520	82520	Hard to say.
82520	83520	But I do know this.
83520	87960	Obviously, keeping track of dissent in a country this large would have been a huge undertaking.
87960	92480	But now, with powerful AI tools, it's not super hard for federal bodies like the FBI,
92480	97520	ICE or CBP to do that, especially after Palantir, Peter Thiel's super chill company, had just
97520	102080	formalized a $1.3 billion deal with the Pentagon, establishing Palantir as the default core
102080	104720	AI system across all branches of the military and federal government.
104720	105720	So that's where we're at.
105720	109960	Pete Haggsest can build a big old cracker barrel in Damascus in 2050, and the edge of
109960	113640	death, dinosaur humans making these calls for us right now won't even be around for
113640	114800	the ribbon cutting ceremony.
114800	115800	But I will channel five.
