start	end	text
0	6100	having no gaping hole, despite his beams being fireproofed and the whole slew of other flaws
6100	14300	in the NIST report, World Trade Center 7 also fell at free fall speed perfectly into its
14300	21060	footprint, making it only the third steel building to ever collapse from fire alongside
21060	29980	World Trade Center 1 and 2, the only three times in history, all in one day, all falling
29980	36740	the exact same way, despite all three of them being damaged in three different ways.
36740	42580	It's also a note that since only one other steel building has ever collapsed from fire
42580	49020	and that was the NIRAN, which if you observe, falls much more realistically asymmetrically.
49020	58560	Here's a side-by-side comparison.
58560	72020	Which one does World Trade Center 7 resemble?
72020	75020	And how are we even still discussing this two decades later?
75020	81260	You also have this interesting response from John Kerry when asked about Silverstein's
81260	97380	statement that he gave the order to, quote, Paul, Building 7.
97380	99340	Wow.
99340	104060	It takes weeks to months to prepare such a demolition.
104060	111020	The only way someone could make a decision to pull it and bring it down in a controlled
111020	119580	fashion would be if they had already been pre-rigged for demo.
119580	124740	And of course, everyone knew right away that it was terrorists, no need to do an investigation
124740	127140	of more than say, I don't know, half a day.
