start	end	text
0	5640	never transferred to its respective doomed flight, which, when searched, just so happened
5640	11600	to contain written-app breakdowns of all 19 hijackers, their backgrounds, their motives,
11600	16880	each of their assignments, their ties to al-Qaeda, a video cassette of a Boeing flight simulator,
16880	19120	a knife and pepper spray.
19120	25840	The entire plot of 9-11 neatly packaged and dropped in their lap of all the passengers
25840	32720	and all the planes, the one suitcase that just so happened to not make the plane has
32720	36640	a written-app breakdown of the attacks.
36640	44240	I call this one the magic suitcase, which when coupled with the magic passports, you get
44240	51040	the FBI's official reasoning when asked how on earth they were instantly able to discern
51040	55200	all of the hijackers and how they were attached to al-Qaeda.
55200	57200	That is some stroke of luck.
