start	end	text
0	8160	Here it is from the wide angle. Watch Charlie Kirk's right side of his t-shirt. Watch the
8160	13920	Lavalier lapel mic. Do you see it explode? Let's bring it in just a little bit closer.
13920	18360	Watch this. Put it in a freeze frame. That is the explosion from Charlie Kirk's Lavalier
18360	22520	lapel mic. Want to see it again? Bring it in closer. Remember when we told you that
22520	27400	that was absolutely an exit wound? Yeah, it is. Check the trajectory of the round that
27400	33280	was deployed from that Lavalier lapel mic. That went directly from Charlie Kirk's lapel.
33280	37980	That went directly from underneath Charlie Kirk's wide t-shirt up through his neck and
37980	42860	created the exit wound that we told you was an exit wound immediately when we saw that
42860	48520	exit wound. First we had exploding pagers. Now we have exploding mics. Do you remember
48520	54280	the vector analysis from John Bray? That proves that all of the activity came from the mic
54280	59560	that Charlie Kirk was wearing. Remember the palm gun guy in the brown shirt that shadowy
59560	65080	looking guy with the sunglasses? Yeah, he pushes the detonator. Clear his day.
85280	94440	That's the assassin. That's the guy that pushes the detonator, which perfectly aligns
94440	98720	with the explosion that pushes that projectile through Charlie's right side of his neck and
98720	110880	out the left side creating the exit wound. That might just look like the chaos that
110880	115640	you would expect after someone was publicly executed in broad daylight in front of 3,000
115640	120200	people. But in no way did that trigger man, that assassin in the brown shirt with the
120200	125280	sunglasses act alone. We have video now from Destiny that shows the handoff of this remote
125280	126280	detonator.
156280	161160	We had John Cullen on the program last week and he made a great point about ballistic
161160	165920	acoustics being altered to hide the location of the real shooter. Well, the same can be
165920	170760	said to distract from the fact that there was no shooter. Tyler Robinson did not kill Charlie
170760	175480	Kirk. This guy, brown shirt guy, he's the assassin.
