start	end	text
0	1760	the name of a military base in Canada,
1760	4280	where they experimented on and took children
4280	5800	in the top secret government project
5800	8080	known as MK-Ultra in the 1960s.
8080	10320	Allegedly, it's called RCAF Station,
10320	12120	Lincoln Park in Calgary, Alberta.
12120	13840	Then you have Chester Bennington,
13840	15880	lead singer of the band, Lincoln Park,
15880	18000	who himself suffered abuse as a child
18000	20960	and was allegedly working on a documentary in 2017
20960	22480	called The Silent Children,
22480	25880	exposing the elites' true rings around the world.
25880	27600	Along with his good friend and lead singer
27600	29120	of audio slave, Chris Cornell,
29120	31080	who was also heavily involved in the project
31080	32080	and the investigations,
32080	36400	and happened to tragically take his own life in May 2017.
36400	41400	Exactly two months later, Chester takes his life in July 2017,
41880	43720	while investigating his friend's death,
43720	45440	both by apparent hanging.
45440	47640	Also involved in The Silent Children documentary
47640	49400	was world famous DJ Avicci,
49400	53600	who took his own life less than a year later in April 2018.
53600	56080	As well as, library chef and travel documentarian,
56080	58560	Anthony Bourdain, who you guessed it,
58560	62040	took his life just a few months later in June 2018.
62040	64000	Now this is John Podesta,
64000	65520	former White House Chief of Staff
65520	68440	to President Bill Clinton from 1998 to 2001,
68440	70280	who was rumored, highly rumored,
70280	72920	to be Chester Bennington's biological father
72920	74520	from sheer resemblance.
74520	76720	And I mean, I don't think anyone can deny
76720	78000	that they do look alike.
78000	82240	Podesta is in the files, like really in the files,
82240	83320	island visits and all.
83320	86680	With alleged leaked audio and videos of him online,
86680	89640	too disturbing to even show, it's on X.
89640	92760	This is the global symbol of PDF files,
92760	95680	as I'm covered by the FBI, called the B logo.
95680	98360	This is Lincoln Park's banned logo.
98360	100360	Were they trying to bring awareness to
100360	103080	and expose the alleged tr-ring rings
103080	106120	before their front man who had some insider insights
106120	107080	tragically passed?
107080	108760	And if you search any of this up,
108760	111080	it'll tell you it's just a conspiracy.
111080	112880	The documentary never existed,
112880	116040	and these tragic passings were all completely unrelated
116040	116880	to each other.
116880	118320	Well, isn't that something?
