start	end	text
0	6360	number is 99-0404. On September 8th, the day that Mitch Snow says that he saw
6360	10720	Erica Kirk and Cabot Phillips on Fort Wachuca, that plane goes from joint base
10720	16000	Andrews, out west, and then ends up at Fort Wachuca. And it flew there under a
16000	22200	call sign SAM-702. What SAM means is special air mission. The only people who
22200	26400	can approve or authorize or order a special air mission flight are the
26400	31080	president and the vice president. Wow. 30 days after Charlie Kirk is murdered,
31080	35040	there is a munitions production facility called AES, which is called
35040	38320	Accurate Energetic Systems. It's in eastern Tennessee. There's like virtually
38320	41200	nothing else out there. And what they do is they build explosives and they
41200	44640	deliver to, you know, like excavators and they also do contracts for the
44640	49280	government. The Department of Defense had placed a $440,000 order just ahead of
49280	55160	Charlie Kirk's death for a micro-explosive from AES. Well, two weeks after Charlie
55160	58000	Kirk is murdered, tons of people saw this where I'm like, oh, that was a
58000	61440	weaponized lavalier microphone that blew up. And that's what killed Charlie Kirk.
61440	65320	The thing went massively viral. Two weeks after that AES, this production facility
65320	70440	that delivered the micro-explosives to the DOD, satisfied the order, it explodes
70440	74760	October 30th, which is two weeks after I released this video about an explosive
74760	80720	killing Charlie Kirk. The day that this thing blows up, tail number 99-0404. The
80720	84120	plane almost exclusively used by the Department of War Secretary Pete
84120	88920	Hegsef. That morning, that plane left Joint Base Andrews and went to Fort
88920	93560	Ochuca. At the time that this thing was smoldering after it had just blown up,
93560	98000	the plane that Pete Hegsef almost exclusively uses detours on its way to
98000	103320	Joint Base Andrews to fly directly over the AES manufacturing facility that
103320	108320	satisfied a $440,000 micro-explosive order just ahead of Charlie Kirk's death,
108320	112720	which blew up two weeks after I said, hey, explosives killed Charlie Kirk and it
112720	116720	flew over this part of Eastern Tennessee where there's nothing else but this thing.
116720	121840	Everything exploded. Every employee on the inside died. 23,000 pounds of
121840	128560	explosives blew up, killing everybody inside. Everybody in that facility died.
