start	end	text
0	3840	worse, like potential Epstein ties worse. The story starts with the Corcoran group. Corcoran
3840	8000	group is a luxury real estate company out of New York City. Frankly, the entire Corcoran group
8000	11520	company should be under fire right now for the ways in which it appears in the Epstein files.
11520	15040	First and foremost, Lynn Rothschild, who is obviously in the Epstein files a lot,
15040	19360	she is allegedly who introduced Jeffrey to both Prince Andrew and Alan Dorsovich.
19360	23200	Alan is the one who helps Jeffrey swing the sweetheart deal of 2008 in the files.
23200	28000	Lynn is listed as the president of the Corcoran group. A notable problem with this is that the
28080	31760	CEO and president of the Corcoran group, since 2000, has been a woman named Pamela
31760	36480	Leibman. Pamela is also in the files. After Epstein got out of prison in 2010, at this point,
36480	42480	we all know he is a child predator and a piece of shit human being. So at best, it is an interesting
42480	46720	business choice for Corcoran to be working with him at all. Specifically, Pamela goes back and
46720	53040	forth with a mortgage broker regarding an NDA for Epstein's 91st street house. The notorious
53040	57280	infamous house in New York City, you sent between Pamela and the broker, then from Pamela to a
57360	62400	redacted name and from the redacted name to Jeffrey. That is not a small detail. Fast forward to 2018,
62400	67120	October, Erica Kirk begins working for Corcoran group. She is indicated online as working at the
67120	71600	Corcoran office two miles away from headquarters where Pamela works. Simultaneous to, I guess,
71600	74560	getting her real estate license because she was not a real estate agent prior to beginning
74560	79840	working for Corcoran. Erica was also getting her masters at Liberty University, but also in 2018.
79840	83360	In the early summer is when Summer House was filmed, the dating show, even though Erica says
83360	88240	she'd never dated between 2013 and 2018, which we know is categorically untrue. The only year I
88240	93360	cannot find her with a boyfriend via her own online footprint is 2013. She goes on Summer House,
93360	98560	applies her the job at turning point in August of 2018, has her interview first date with Charlie
98560	102640	in September and begins working October with the Corcoran group. That's a crazy fucking summer
102640	106720	and fall. Even though Erica still shows up as an active employee of Corcoran group, there is zero
106720	110320	indication that I could find that this woman ever sold a single house. When you combine this with
110320	114640	the fact that she, by her own accounts, was basically recruited by Trump's hadgents,
114640	118960	you have the Romania Angel situation and the local people accusing this organization that
118960	125200	she was at the helm of kidnapping and trafficking children. She is randomly in a 2015 CIA documentary
125200	130000	with the director of the CIA. She's contradicted other TPUSA people's accounts of September 10th.
130000	134000	Her alibis have not lined up. She has accused anyone questioning the narrative the FBI is telling
134000	138320	us about how Charlie died of a sickness of the mind. At what point do we stop calling these
138400	142240	coincidences and acknowledge the fact that this is a pattern? Mind you, all I've pointed out are
142240	146400	discrepancies in her own self-reporting of her life. I haven't even touched on the discrepancies
146400	150160	of the actual case surrounding Charlie's murder. The miracle bullet that for whatever reason didn't
150160	154560	go through his neck. The five different DNA sets found on Tyler's gun. The fact that there's footage
154560	158800	of Tyler running off the roof, but there isn't footage 15 seconds prior of him pulling trigger
158800	162720	or disassembling his gun and stuffing it back in his backpack. But I'll say is this. Jeffrey
162720	168240	Epstein had to get the children that he mutilated, tortured, abused, raped, murdered, ate from somewhere.
168240	174160	And I just wonder if a certain woman who has flown into power fame and fortune in the wake
174160	178160	of her husband's death might have some answers.
