start	end	text
0	6920	A lot of people think that.
6920	9620	The evidence is there.
9620	12280	The evidence is all there.
12280	22520	It's, it's, come on, we spend, we send $18 million a year to Israel.
22520	24080	Why?
24080	26960	Just ask the question, what do we get out of it?
26960	27960	Nothing.
27960	28960	We get nothing.
29960	33160	Are we doing humanitarian work?
33160	35200	No other charge with genocide.
35200	40000	They're killing off Palestinians.
40000	41000	Are we helping them survive?
41000	46400	Well, they've got a higher standard to live than we do, a longer lifespan than we do.
46400	53680	Free education, free housing, free healthcare, or we're sending them money.
53680	56040	Why?
56040	61880	Ask yourself why a U.S. congressman can wear an Israeli military uniform in congressional
61880	63520	chambers.
63520	67320	I would think that would be an act of treason.
67320	69280	But they did.
69280	71400	Nobody said anything.
71400	77640	Ask why the Israeli prime minister can bypass the president, fly directly in and speak to
77640	84280	our congress without any other government interaction.
84280	85520	I didn't know that could happen.
85520	86520	Oh yeah.
86520	91520	Netanyahu did, flew straight in bypass the president, talked to the Congress.
91520	96600	Congress gave him 26 standing ovations.
96600	100000	I think most pop stars would like 26 standing ovations.
100000	109320	Our Congress gave Netanyahu a foreign prime minister 26 standing ovations.
109320	114800	I have difficulty looking at that.
114800	118480	In any other way, then, we're occupied.
