start	end	text
0	2360	of the towers collapsed onto the lower one.
2360	6040	The upper and lower sections should have mutually destroyed each other until all the
6040	9400	energy is dissipated and the system comes to arrest.
9400	11120	What could not have happened is this.
11120	17320	A little tiny chunk of the building can't possibly fall and crush the entire structure
17320	18320	below it.
18320	22320	This is such a simple fundamental concept that architects and engineers were astonished
22320	24720	in seeing it totally ignored by NIST.
24720	30680	This is high school physics and our whole society is being led to believe that these
30680	35840	fundamental laws of physics, hard science, don't apply anymore.
35840	39640	But even if we assumed that the top section of the tower had enough potential energy
39640	44000	to destroy the rest of the structure below, it could not have done so at the speed it
44000	47000	did, which was near free fall speed.
47000	51240	That would have violated an even more important principle in physics, known as the law of
51240	53680	momentum conservation.
53680	58640	This law states that the total energy within an isolated system must always remain the
58640	59640	same.
59640	64400	As we have seen, the energy can be transformed within the system, from motion to physical
64400	65920	deformation.
65920	71360	But for the deformation to begin, the velocity must decrease in order for one kind of energy
71360	74040	to be transformed into the other.
74040	77200	No new energy can be added to the system.
77200	81120	One particular example of momentum conservation is free fall.
81120	85360	Free fall happens when the only force applied on an object is gravity.
85360	90200	This means that all the potential energy contained by the object is converted into vertical
90200	91280	motion.
91280	95960	As soon as the falling object hits an obstacle and breakage occurs, the speed must decrease
95960	100560	because some of its energy needs now to be converted into physical breakage.
100560	105320	It takes energy to break things apart and that energy must come from within the system.
105320	109720	Thus, the falling rock cannot keep falling at free fall speed and break apart at the
109720	114480	same time because it doesn't have enough energy to do both.
114480	118080	Let's go now to the twin towers and ask a simple question.
118080	121760	Assuming that the top section on the left contains enough potential energy to destroy
121760	126200	the rest of the tower and assuming we dropped both upper sections at the same time, which
126200	128400	one would hit the ground first.
128400	130440	It would be the second, of course.
130440	134640	As it finds no obstacles in its path, the section on the right would quickly accelerate
134640	138920	the free fall speed and maintain it all the way to the ground.
138920	143240	The section on the left instead needs to use some of its energy to destroy the structure
143240	147140	below so it could never achieve free fall speed.
147140	151480	In the case of the twin towers, however, both upper sections fell with an acceleration
151480	157760	close to free fall speed as if their path had been practically free from obstacles.
157760	162400	It took each tower between 10 and 12 seconds to collapse to the ground while an absolute
162400	165240	free fall time would have been 9.2 seconds.
