start	end	text
0	4040	cutters directed by a man on dialysis in a cave fortress halfway around the world using
4040	7840	a satellite phone and a laptop directed the most sophisticated penetration of the most
7840	10100	heavily defended airspace in the world.
10100	14120	Overpowering the passengers and the military combat train pilots on four commercial aircraft
14120	17920	before flying those planes wildly off course for over an hour without being molested by
17920	19800	a single fighter interceptor.
19800	24240	These 19 hijackers, devout religious fundamentalists who like to drink alcohol snort cocaine and
24240	27480	live with pin-cared strippers, managed to knock down three buildings with two planes
27480	28480	in New York.
28480	31520	While in Washington, a pilot who couldn't handle a single-engine Cessna was able to
31520	36560	fly a 757 and an 8,000 foot descending 270 degree corkscrew turned to come exactly level
36560	37560	with the ground.
37560	40920	Hitting the Pentagon in the budget analyst office where DOD staffers were working on the
40920	45200	mystery of the $2.3 trillion the Defense Secretary Donald Rumsfeld had announced missing
45200	50000	from the Pentagon's coffers in a press conference the day before on September 10th, 2001.
50000	53120	Luckily, the news anchors knew who did it within minutes.
53120	57000	The pundits knew within hours.
57000	62240	The administration knew within the day terrorists who committed these acts and those who harbored
62240	63240	them.
63240	67000	And the evidence literally fell into the FBI's lap that a hijackers passport was found
67000	70560	blocks from the World Trade Center crash site if you can believe that.
70560	74400	But for some reason, a bunch of crazy conspiracy theorists demanded an investigation into the
74400	77200	greatest attack on American soil in history.
77200	81680	That investigation was delayed, underfunded, set up to fail, a conflict of interest, and
81680	83480	a cover-up from start to finish.
83480	87520	It was based on testimony extracted through torture, the records of which were destroyed.
87520	92360	It failed to mention the existence of WTC-7, Able Danger, P-Tech, Sibel Edmonds, OBL and
92360	95760	the CIA, and the drills of hijacked aircraft being flown into buildings that were being
95760	99640	simulated at the precise same time that those events were actually happening.
99640	104880	It was lied to by the Pentagon, the CIA, the Bush administration, and as for Bush and
104880	109120	Cheney, well, no one knows what they told it because they testified in secret, off the
109120	112440	record, not under oath, and behind closed doors.
112440	115680	They didn't bother to look at who funded the attacks because that question is ultimately
115680	118960	of little, practical significance.
118960	122960	Still the 9-11 Commission did brilliantly answering all of the questions the public had, except
122960	127000	most of the victim's family members' questions, and pinned blame on all the people responsible,
127000	130200	although no one so much has lost their job, determining the attacks were...
130200	131760	Failure of imagination.
131760	132760	Because...
132760	136120	I don't think the prior government that could envision flying airplanes in...
