start	end	text
0	4480	Spadario Amade and his sister Daniela, who both worked on safety at the company, and
4480	6600	accused them of plotting a coup.
6600	10800	Altman told them that he had this on good authority from a senior executive, so Daniela
10800	14640	brought in the executive, who denied having said anything of the sort.
14640	18600	Then Altman insisted to all of them, he'd never made the accusation in the first place.
18600	22320	Daniela lost it, and replied, quote, you just said that.
22320	26960	Later, Altman apologized to the executive, saying he'd just wanted Daniela to stop yelling
26960	28880	and said the first name that came to mind.
28880	33520	Altman says he accused them only of political activity, and the rest isn't quite how he
33520	34520	remembers it.
34520	38680	This is just one small example of a pattern of alleged deceptions documented in our new
38680	41480	investigation, which you can read in the New Yorker.
41480	46280	Some senior executives at Microsoft, one of OpenAI's major partners, said, as one put
46280	52480	it, that Altman has, quote, misrepresented, distorted, renegotiated, reneged on agreements.
52480	57600	One recent example, an OpenAI deal with Amazon that Microsoft executives say may conflict
57600	59280	with an exclusivity agreement.
59280	63760	That senior exec added, quote, I think there's a small but real chance he's eventually remembered
63760	67920	as a Bernie Madoff or a Sam Bankman-free level scammer.
67920	71640	Some government officials told us they came to distrust Altman.
71640	76800	In one meeting, he told intelligence officials China had launched an AGI Manhattan Project,
76800	80480	and that the government had to give OpenAI billions to compete.
80480	83160	Pressed for evidence, he said, I've heard things.
83160	85360	He promised to follow up, and never did.
85360	89800	An official concluded, quote, it was just being used as a sales pitch.
89800	93840	Altman says he doesn't recall describing Beijing's efforts exactly that way.
93840	96160	It turns out these complaints go way back.
96160	100880	At looped his first startup, he told colleagues he was a champion ping pong player, according
100880	101880	to one of them.
101880	105380	Before turning out to be one of the worst players in the office, Altman says he was
105380	106540	probably joking.
106540	110960	At Y Combinator, a startup incubator that Altman ran after that, colleagues remembered
110960	115960	YC's founder saying, quote, Sam had been lying to us all the time.
115960	120440	One fellow Y Combinator founder, a programmer named Aaron Schwartz, not long before his
120440	125400	suicide in 2013, had told a friend, quote, Sam can never be trusted.
125400	126800	He is a sociopath.
126800	128400	He would do anything.
128400	133760	At OpenAI, in late 2022, Altman assured the board that features of a model had been approved
133760	135200	by a safety panel.
135200	139800	Board member Helen Toner requested documentation, and found the most controversial ones had
139800	141080	not been approved.
141080	146040	The next year, he told OpenAI's CTO Mira Marathi that a subsequent version of chat
146040	150520	GPT didn't need a safety review according to the company's general counsel.
150520	156360	When she checked, the general counsel said, quote, of confused where Sam got that impression.
156360	157920	The board fired Altman.
157920	161840	When they pressed him to admit that there was a pattern of deception, he replied, according
161840	166200	to people on the call, quote, I can't change my personality.
166200	167920	Read much more in my full investigation.
