start	end	text
0	3440	very specific outcome that is looking increasingly
3440	5280	unrealistic.
5280	6760	This is what I think is really annoying.
6760	8120	This blew my mind.
8120	9960	This is from Morningstar.
9960	13560	The S&P global ratings assigned these bonds.
13560	16080	So the loans that these private equity companies
16080	19240	are taking out to fund these data centers,
19240	24400	they assigned the bonds of investment grade rating of A+.
24400	29440	However, the debt yield is 6.58%.
29440	31360	OK.
31360	35880	That rate is typically associated with junk bonds.
35880	38480	So they're saying it's A+.
38480	40480	But what are their actions showing?
40480	42400	What does this remind you of?
42400	45440	Like this is the plot of a movie and a book
45440	47680	and something that actually happened.
47680	48400	I wrote.
48400	50120	It's giving subprime mortgages.
50120	50600	Yeah.
50600	53080	I know when I was reading this, I was like, God, this is,
53080	56080	I feel like I'm reading about the subprime mortgage crisis
56080	59160	in a book about the subprime mortgage crisis.
59160	61560	But it's happening right in front of me.
